"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.873847060E-1,8.614161611E-2,1.674975902E-1,9.801301003E0,9.803110586E0
3.897916850E-1,7.657032460E-2,1.603191197E-1,9.803693771E0,9.805303504E0
3.921986640E-1,9.571290761E-2,1.770688742E-1,9.791728973E0,9.793797559E0
3.946056430E-1,9.571290761E-2,1.698904037E-1,9.794121742E0,9.796062699E0
3.970126220E-1,1.028913707E-1,1.722832322E-1,9.801301003E0,9.803355012E0
3.994196010E-1,1.004985496E-1,1.651047617E-1,9.794121742E0,9.796028800E0
4.018265810E-1,9.571290761E-2,1.579262912E-1,9.798908234E0,9.800648154E0
4.042335600E-1,9.332008660E-2,1.531406492E-1,9.796515465E0,9.798156763E0
4.066405390E-1,9.571290761E-2,1.603191197E-1,9.796515465E0,9.798294670E0
4.090475180E-1,7.896314561E-2,1.579262912E-1,9.810872078E0,9.812460793E0
4.114545490E-1,8.374879509E-2,1.698904037E-1,9.803693771E0,9.805523350E0
4.138615280E-1,9.571290761E-2,1.698904037E-1,9.794121742E0,9.796062699E0
4.162685080E-1,8.374879509E-2,1.483550072E-1,9.796515465E0,9.797996648E0
4.186754870E-1,8.135596663E-2,1.387837082E-1,9.789336205E0,9.790657947E0
4.210824660E-1,8.614161611E-2,1.603191197E-1,9.784550667E0,9.786243117E0
4.234894450E-1,8.853443712E-2,1.531406492E-1,9.794121742E0,9.795719019E0
4.258964240E-1,7.896314561E-2,1.555334777E-1,9.798908234E0,9.800460622E0
4.283034030E-1,9.092725813E-2,1.531406492E-1,9.791728973E0,9.793348565E0
4.307103830E-1,1.004985496E-1,1.770688742E-1,9.794121742E0,9.796237750E0
4.331173620E-1,9.092725813E-2,1.651047617E-1,9.789336205E0,9.791150631E0
4.355243410E-1,1.004985496E-1,1.698904037E-1,9.791728973E0,9.793718344E0
4.379313200E-1,9.332008660E-2,1.627119333E-1,9.806086540E0,9.807880354E0
4.403382990E-1,9.092725813E-2,1.435693651E-1,9.794121742E0,9.795595981E0
4.427452780E-1,1.100698411E-1,1.459621787E-1,9.801301003E0,9.803005747E0
4.451523100E-1,9.810572863E-2,1.411765367E-1,9.798908234E0,9.800416222E0
4.475592890E-1,1.028913707E-1,1.531406492E-1,9.791728973E0,9.793466954E0
4.499662680E-1,7.896314561E-2,1.483550072E-1,9.794121742E0,9.795563541E0
4.523732470E-1,8.614161611E-2,1.292124242E-1,9.796515465E0,9.797746245E0
4.547802260E-1,8.374879509E-2,1.435693651E-1,9.798908234E0,9.800317780E0
4.571872060E-1,8.374879509E-2,1.603191197E-1,9.803693771E0,9.805362188E0
4.595941850E-1,9.810572863E-2,1.627119333E-1,9.796515465E0,9.798357779E0
4.620011640E-1,1.028913707E-1,1.531406492E-1,9.801301003E0,9.803037286E0
4.644081430E-1,1.076770201E-1,1.435693651E-1,9.791728973E0,9.793373412E0
4.668151220E-1,9.332008660E-2,1.459621787E-1,9.794121742E0,9.795653847E0
4.692221530E-1,8.374879509E-2,1.603191197E-1,9.791728973E0,9.793399429E0
4.716291330E-1,8.614161611E-2,1.459621787E-1,9.796515465E0,9.797981455E0
4.740361120E-1,6.699903309E-2,1.459621787E-1,9.794121742E0,9.795438455E0
4.764430910E-1,1.076770201E-1,1.579262912E-1,9.794121742E0,9.795986717E0
4.788500700E-1,9.332008660E-2,1.531406492E-1,9.794121742E0,9.795763441E0
4.812570490E-1,9.571290761E-2,1.603191197E-1,9.801301003E0,9.803079339E0
4.836640280E-1,9.810572863E-2,1.531406492E-1,9.796515465E0,9.798203511E0
4.860710080E-1,1.052841991E-1,1.435693651E-1,9.796515465E0,9.798133097E0
4.884779870E-1,9.571290761E-2,1.507478207E-1,9.796515465E0,9.798142738E0
4.908849660E-1,7.657032460E-2,1.435693651E-1,9.784550667E0,9.785903480E0
4.932919450E-1,8.135596663E-2,1.507478207E-1,9.796515465E0,9.798013010E0
4.956989240E-1,8.374879509E-2,1.674975902E-1,9.813264847E0,9.815051516E0
4.981059030E-1,9.332008660E-2,1.698904037E-1,9.789336205E0,9.791255012E0
5.005129350E-1,8.853443712E-2,1.603191197E-1,9.796515465E0,9.798227177E0
5.029199140E-1,8.135596663E-2,1.531406492E-1,9.796515465E0,9.798050117E0
5.053268930E-1,8.374879509E-2,1.579262912E-1,9.796515465E0,9.798146244E0
5.077338720E-1,8.374879509E-2,1.579262912E-1,9.810872078E0,9.812500472E0
5.101408510E-1,9.092725813E-2,1.483550072E-1,9.798908234E0,9.800453028E0
5.125478310E-1,1.052841991E-1,1.627119333E-1,9.794121742E0,9.796039028E0
5.149548100E-1,1.052841991E-1,1.674975902E-1,9.782157898E0,9.784158285E0
5.173617890E-1,8.614161611E-2,1.603191197E-1,9.791728973E0,9.793420183E0
5.197687680E-1,8.614161611E-2,1.507478207E-1,9.798908234E0,9.800446309E0
5.221757470E-1,9.571290761E-2,1.555334777E-1,9.796515465E0,9.798217536E0
5.245827260E-1,9.810572863E-2,1.555334777E-1,9.786943436E0,9.788670860E0
5.269897060E-1,9.571290761E-2,1.507478207E-1,9.789336205E0,9.790964671E0
5.293966850E-1,1.028913707E-1,1.411765367E-1,9.789336205E0,9.790894789E0
5.318037160E-1,9.571290761E-2,1.627119333E-1,9.784550667E0,9.786371538E0
5.342106950E-1,7.178468257E-2,1.603191197E-1,9.796515465E0,9.798090146E0
5.366176740E-1,7.657032460E-2,1.794617027E-1,9.806086540E0,9.808027465E0
5.390246530E-1,6.699903309E-2,1.674975902E-1,9.791728973E0,9.793390659E0
5.414316330E-1,8.853443712E-2,1.603191197E-1,9.791728973E0,9.793441523E0
5.438386120E-1,8.853443712E-2,1.531406492E-1,9.796515465E0,9.798112352E0
5.462455910E-1,8.135596663E-2,1.387837082E-1,9.796515465E0,9.797836239E0
5.486525700E-1,8.374879509E-2,1.555334777E-1,9.796515465E0,9.798107969E0
5.510595490E-1,7.417750359E-2,1.555334777E-1,9.803693771E0,9.805208031E0
5.534665280E-1,8.135596663E-2,1.531406492E-1,9.808479309E0,9.810012090E0
5.558735080E-1,8.853443712E-2,1.579262912E-1,9.803693771E0,9.805365400E0
5.582804870E-1,8.135596663E-2,1.603191197E-1,9.813264847E0,9.814911511E0
5.606874660E-1,1.004985496E-1,1.507478207E-1,9.796515465E0,9.798190655E0
5.630944450E-1,9.571290761E-2,1.555334777E-1,9.798908234E0,9.800609889E0
5.655014760E-1,9.571290761E-2,1.435693651E-1,9.798908234E0,9.800427322E0
5.679084560E-1,8.853443712E-2,1.603191197E-1,9.796515465E0,9.798227177E0
5.703154350E-1,8.135596663E-2,1.507478207E-1,9.806086540E0,9.807582624E0
5.727224140E-1,7.896314561E-2,1.435693651E-1,9.798908234E0,9.800278053E0
5.751293930E-1,9.332008660E-2,1.435693651E-1,9.794121742E0,9.795618485E0
5.775363720E-1,8.614161611E-2,1.555334777E-1,9.798908234E0,9.800521089E0
5.799433510E-1,9.092725813E-2,1.555334777E-1,9.810872078E0,9.812526146E0
5.823503310E-1,1.004985496E-1,1.698904037E-1,9.806086540E0,9.808072998E0
5.847573100E-1,9.571290761E-2,1.722832322E-1,9.794121742E0,9.796104490E0
5.871642890E-1,8.135596663E-2,1.435693651E-1,9.796515465E0,9.797905195E0
5.895712680E-1,9.092725813E-2,1.435693651E-1,9.801301003E0,9.802774162E0
5.919782470E-1,8.853443712E-2,1.411765367E-1,9.808479309E0,9.809894776E0
5.943852260E-1,8.374879509E-2,1.363908947E-1,9.801301003E0,9.802607698E0
5.967922580E-1,9.332008660E-2,1.555334777E-1,9.801301003E0,9.802979172E0
